,geometry,crime,color
18,"POLYGON ((-73.57483070149999 45.4960685085, -73.57183070149999 45.4960685085, -73.57183070149999 45.4930685085, -73.57483070149999 45.4930685085, -73.57483070149999 45.4960685085))",0,purple
19,"POLYGON ((-73.57183070149999 45.4960685085, -73.56883070149999 45.4960685085, -73.56883070149999 45.4930685085, -73.57183070149999 45.4930685085, -73.57183070149999 45.4960685085))",0,purple
20,"POLYGON ((-73.56883070149999 45.4960685085, -73.56583070149999 45.4960685085, -73.56583070149999 45.4930685085, -73.56883070149999 45.4930685085, -73.56883070149999 45.4960685085))",0,purple
21,"POLYGON ((-73.56583070149999 45.4960685085, -73.56283070149999 45.4960685085, -73.56283070149999 45.4930685085, -73.56583070149999 45.4930685085, -73.56583070149999 45.4960685085))",0,purple
22,"POLYGON ((-73.56283070149999 45.4960685085, -73.55983070149999 45.4960685085, -73.55983070149999 45.4930685085, -73.56283070149999 45.4930685085, -73.56283070149999 45.4960685085))",188,yellow
23,"POLYGON ((-73.55983070149999 45.4960685085, -73.55683070149999 45.4960685085, -73.55683070149999 45.4930685085, -73.55983070149999 45.4930685085, -73.55983070149999 45.4960685085))",37,purple
24,"POLYGON ((-73.55683070149999 45.4960685085, -73.55383070149999 45.4960685085, -73.55383070149999 45.4930685085, -73.55683070149999 45.4930685085, -73.55683070149999 45.4960685085))",11,purple
25,"POLYGON ((-73.55383070149999 45.4960685085, -73.55083070149999 45.4960685085, -73.55083070149999 45.4930685085, -73.55383070149999 45.4930685085, -73.55383070149999 45.4960685085))",95,yellow
26,"POLYGON ((-73.58983070149999 45.4990685085, -73.58683070149999 45.4990685085, -73.58683070149999 45.4960685085, -73.58983070149999 45.4960685085, -73.58983070149999 45.4990685085))",42,purple
27,"POLYGON ((-73.58683070149999 45.4990685085, -73.58383070149999 45.4990685085, -73.58383070149999 45.4960685085, -73.58683070149999 45.4960685085, -73.58683070149999 45.4990685085))",177,yellow
28,"POLYGON ((-73.58383070149999 45.4990685085, -73.58083070149999 45.4990685085, -73.58083070149999 45.4960685085, -73.58383070149999 45.4960685085, -73.58383070149999 45.4990685085))",98,yellow
29,"POLYGON ((-73.58083070149999 45.4990685085, -73.57783070149999 45.4990685085, -73.57783070149999 45.4960685085, -73.58083070149999 45.4960685085, -73.58083070149999 45.4990685085))",141,yellow
30,"POLYGON ((-73.57783070149999 45.4990685085, -73.57483070149999 45.4990685085, -73.57483070149999 45.4960685085, -73.57783070149999 45.4960685085, -73.57783070149999 45.4990685085))",102,yellow
31,"POLYGON ((-73.57483070149999 45.4990685085, -73.57183070149999 45.4990685085, -73.57183070149999 45.4960685085, -73.57483070149999 45.4960685085, -73.57483070149999 45.4990685085))",5,purple
32,"POLYGON ((-73.57183070149999 45.4990685085, -73.56883070149999 45.4990685085, -73.56883070149999 45.4960685085, -73.57183070149999 45.4960685085, -73.57183070149999 45.4990685085))",0,purple
33,"POLYGON ((-73.56883070149999 45.4990685085, -73.56583070149999 45.4990685085, -73.56583070149999 45.4960685085, -73.56883070149999 45.4960685085, -73.56883070149999 45.4990685085))",0,purple
34,"POLYGON ((-73.56583070149999 45.4990685085, -73.56283070149999 45.4990685085, -73.56283070149999 45.4960685085, -73.56583070149999 45.4960685085, -73.56583070149999 45.4990685085))",23,purple
35,"POLYGON ((-73.56283070149999 45.4990685085, -73.55983070149999 45.4990685085, -73.55983070149999 45.4960685085, -73.56283070149999 45.4960685085, -73.56283070149999 45.4990685085))",67,yellow
36,"POLYGON ((-73.55983070149999 45.4990685085, -73.55683070149999 45.4990685085, -73.55683070149999 45.4960685085, -73.55983070149999 45.4960685085, -73.55983070149999 45.4990685085))",67,yellow
37,"POLYGON ((-73.55683070149999 45.4990685085, -73.55383070149999 45.4990685085, -73.55383070149999 45.4960685085, -73.55683070149999 45.4960685085, -73.55683070149999 45.4990685085))",140,yellow
38,"POLYGON ((-73.55383070149999 45.4990685085, -73.55083070149999 45.4990685085, -73.55083070149999 45.4960685085, -73.55383070149999 45.4960685085, -73.55383070149999 45.4990685085))",214,yellow
39,"POLYGON ((-73.58983070149999 45.5020685085, -73.58683070149999 45.5020685085, -73.58683070149999 45.4990685085, -73.58983070149999 45.4990685085, -73.58983070149999 45.5020685085))",141,yellow
40,"POLYGON ((-73.58683070149999 45.5020685085, -73.58383070149999 45.5020685085, -73.58383070149999 45.4990685085, -73.58683070149999 45.4990685085, -73.58683070149999 45.5020685085))",64,yellow
41,"POLYGON ((-73.58383070149999 45.5020685085, -73.58083070149999 45.5020685085, -73.58083070149999 45.4990685085, -73.58383070149999 45.4990685085, -73.58383070149999 45.5020685085))",177,yellow
42,"POLYGON ((-73.58083070149999 45.5020685085, -73.57783070149999 45.5020685085, -73.57783070149999 45.4990685085, -73.58083070149999 45.4990685085, -73.58083070149999 45.5020685085))",51,yellow
43,"POLYGON ((-73.57783070149999 45.5020685085, -73.57483070149999 45.5020685085, -73.57483070149999 45.4990685085, -73.57783070149999 45.4990685085, -73.57783070149999 45.5020685085))",250,yellow
44,"POLYGON ((-73.57483070149999 45.5020685085, -73.57183070149999 45.5020685085, -73.57183070149999 45.4990685085, -73.57483070149999 45.4990685085, -73.57483070149999 45.5020685085))",13,purple
45,"POLYGON ((-73.57183070149999 45.5020685085, -73.56883070149999 45.5020685085, -73.56883070149999 45.4990685085, -73.57183070149999 45.4990685085, -73.57183070149999 45.5020685085))",35,purple
46,"POLYGON ((-73.56883070149999 45.5020685085, -73.56583070149999 45.5020685085, -73.56583070149999 45.4990685085, -73.56883070149999 45.4990685085, -73.56883070149999 45.5020685085))",105,yellow
47,"POLYGON ((-73.56583070149999 45.5020685085, -73.56283070149999 45.5020685085, -73.56283070149999 45.4990685085, -73.56583070149999 45.4990685085, -73.56583070149999 45.5020685085))",25,purple
