,geometry,crime,color
10,"POLYGON ((-73.56983070150004 45.4920685085, -73.56783070150004 45.4920685085, -73.56783070150004 45.4900685085, -73.56983070150004 45.4900685085, -73.56983070150004 45.4920685085))",0,purple
11,"POLYGON ((-73.56783070150004 45.4920685085, -73.56583070150005 45.4920685085, -73.56583070150005 45.4900685085, -73.56783070150004 45.4900685085, -73.56783070150004 45.4920685085))",0,purple
12,"POLYGON ((-73.56583070150005 45.4920685085, -73.56383070150005 45.4920685085, -73.56383070150005 45.4900685085, -73.56583070150005 45.4900685085, -73.56583070150005 45.4920685085))",0,purple
13,"POLYGON ((-73.56383070150005 45.4920685085, -73.56183070150006 45.4920685085, -73.56183070150006 45.4900685085, -73.56383070150005 45.4900685085, -73.56383070150005 45.4920685085))",0,purple
14,"POLYGON ((-73.56183070150006 45.4920685085, -73.55983070150006 45.4920685085, -73.55983070150006 45.4900685085, -73.56183070150006 45.4900685085, -73.56183070150006 45.4920685085))",0,purple
15,"POLYGON ((-73.55983070150006 45.4920685085, -73.55783070150007 45.4920685085, -73.55783070150007 45.4900685085, -73.55983070150006 45.4900685085, -73.55983070150006 45.4920685085))",0,purple
16,"POLYGON ((-73.55783070150007 45.4920685085, -73.55583070150007 45.4920685085, -73.55583070150007 45.4900685085, -73.55783070150007 45.4900685085, -73.55783070150007 45.4920685085))",4,purple
17,"POLYGON ((-73.55583070150007 45.4920685085, -73.55383070150008 45.4920685085, -73.55383070150008 45.4900685085, -73.55583070150007 45.4900685085, -73.55583070150007 45.4920685085))",5,purple
18,"POLYGON ((-73.55383070150008 45.4920685085, -73.55183070150008 45.4920685085, -73.55183070150008 45.4900685085, -73.55383070150008 45.4900685085, -73.55383070150008 45.4920685085))",17,purple
19,"POLYGON ((-73.55183070150008 45.4920685085, -73.54983070150008 45.4920685085, -73.54983070150008 45.4900685085, -73.55183070150008 45.4900685085, -73.55183070150008 45.4920685085))",26,purple
20,"POLYGON ((-73.58983070149999 45.49406850850001, -73.5878307015 45.49406850850001, -73.5878307015 45.4920685085, -73.58983070149999 45.4920685085, -73.58983070149999 45.49406850850001))",32,purple
21,"POLYGON ((-73.5878307015 45.49406850850001, -73.5858307015 45.49406850850001, -73.5858307015 45.4920685085, -73.5878307015 45.4920685085, -73.5878307015 45.49406850850001))",55,yellow
22,"POLYGON ((-73.5858307015 45.49406850850001, -73.58383070150001 45.49406850850001, -73.58383070150001 45.4920685085, -73.5858307015 45.4920685085, -73.5858307015 45.49406850850001))",66,yellow
23,"POLYGON ((-73.58383070150001 45.49406850850001, -73.58183070150001 45.49406850850001, -73.58183070150001 45.4920685085, -73.58383070150001 45.4920685085, -73.58383070150001 45.49406850850001))",5,purple
24,"POLYGON ((-73.58183070150001 45.49406850850001, -73.57983070150001 45.49406850850001, -73.57983070150001 45.4920685085, -73.58183070150001 45.4920685085, -73.58183070150001 45.49406850850001))",94,yellow
25,"POLYGON ((-73.57983070150001 45.49406850850001, -73.57783070150002 45.49406850850001, -73.57783070150002 45.4920685085, -73.57983070150001 45.4920685085, -73.57983070150001 45.49406850850001))",84,yellow
26,"POLYGON ((-73.57783070150002 45.49406850850001, -73.57583070150002 45.49406850850001, -73.57583070150002 45.4920685085, -73.57783070150002 45.4920685085, -73.57783070150002 45.49406850850001))",0,purple
27,"POLYGON ((-73.57583070150002 45.49406850850001, -73.57383070150003 45.49406850850001, -73.57383070150003 45.4920685085, -73.57583070150002 45.4920685085, -73.57583070150002 45.49406850850001))",0,purple
28,"POLYGON ((-73.57383070150003 45.49406850850001, -73.57183070150003 45.49406850850001, -73.57183070150003 45.4920685085, -73.57383070150003 45.4920685085, -73.57383070150003 45.49406850850001))",0,purple
29,"POLYGON ((-73.57183070150003 45.49406850850001, -73.56983070150004 45.49406850850001, -73.56983070150004 45.4920685085, -73.57183070150003 45.4920685085, -73.57183070150003 45.49406850850001))",0,purple
